Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,343.709991,348.019989,343.130005,347.500000,346.025024,60357700
2020-10-16,348.959991,350.750000,347.100006,347.290009,345.815918,89501900
2020-10-19,348.649994,349.329987,341.040009,342.010010,340.558319,68425600
2020-10-20,343.459991,346.880005,342.640015,343.380005,341.922516,60051900
2020-10-21,343.329987,345.670013,342.399994,342.730011,341.275269,63575000
2020-10-22,342.959991,345.239990,340.649994,344.609985,343.147278,55399300
2020-10-23,345.929993,345.989990,343.130005,345.779999,344.312317,49143900
2020-10-26,342.130005,342.980011,335.619995,339.390015,337.949463,91473000
2020-10-27,339.760010,340.119995,337.989990,338.220001,336.784393,65994100
2020-10-28,332.100006,338.250000,326.130005,326.660004,325.273468,127094300
2020-10-29,326.910004,333.399994,325.089996,329.980011,328.579376,90597700
2020-10-30,328.279999,329.690002,322.600006,326.540009,325.153992,120287300
2020-11-02,330.200012,332.359985,327.239990,330.200012,328.798462,86068300
2020-11-03,333.690002,338.250000,330.290009,336.029999,334.603699,93294200
2020-11-04,340.859985,347.940002,339.589996,343.540009,342.081818,126959700
2020-11-05,349.239990,352.190002,348.859985,350.239990,348.753387,82039700
2020-11-06,349.929993,351.510010,347.649994,350.160004,348.673737,74973000
2020-11-09,363.970001,364.380005,354.059998,354.559998,353.055054,172304200
2020-11-10,353.489990,355.179993,350.510010,354.040009,352.537262,85552000
2020-11-11,356.399994,357.559998,355.059998,356.670013,355.156097,58649000
2020-11-12,355.579987,356.720001,351.260010,353.209991,351.710754,67546200
2020-11-13,355.269989,358.899994,354.709991,358.100006,356.580017,62892200
2020-11-16,360.980011,362.779999,359.589996,362.570007,361.031067,74541100
2020-11-17,359.970001,361.920013,358.339996,360.619995,359.089325,66111000
2020-11-18,360.910004,361.500000,356.239990,356.279999,354.767731,70591300
2020-11-19,355.600006,358.179993,354.149994,357.779999,356.261383,59940900
2020-11-20,357.500000,357.720001,355.250000,355.329987,353.821777,70417300
2020-11-23,357.279999,358.820007,354.869995,357.459991,355.942719,63230600
2020-11-24,360.209991,363.809998,359.290009,363.220001,361.678284,62415900
2020-11-25,363.130005,363.160004,361.480011,362.660004,361.120667,45330900
2020-11-27,363.839996,364.179993,362.579987,363.670013,362.126404,28514100
2020-11-30,362.829987,363.119995,359.170013,362.059998,360.523224,83872700
2020-12-01,365.570007,367.679993,364.929993,366.019989,364.466400,74505000
2020-12-02,364.820007,366.959991,364.200012,366.790009,365.233154,45927000
2020-12-03,366.679993,368.190002,365.500000,366.690002,365.133575,62882000
2020-12-04,367.320007,369.850006,367.220001,369.850006,368.280151,50749900
2020-12-07,369.019989,369.619995,367.720001,369.089996,367.523376,48944300
2020-12-08,367.720001,370.779999,367.670013,370.170013,368.598816,42458900
2020-12-09,370.880005,371.049988,365.950012,366.850006,365.292877,74098300
2020-12-10,365.369995,367.859985,364.429993,366.730011,365.173401,57735400
2020-12-11,364.899994,366.739990,363.260010,366.299988,364.745209,57698600
2020-12-14,368.640015,369.799988,364.470001,364.660004,363.112183,69216200
2020-12-15,367.399994,369.589996,365.920013,369.589996,368.021240,64071100
2020-12-16,369.820007,371.160004,368.869995,370.170013,368.598816,58420500
2020-12-17,371.940002,372.459991,371.049988,372.239990,370.660004,64119500
2020-12-18,370.970001,371.149994,367.019989,369.179993,369.179993,136542300
2020-12-21,364.970001,378.459991,362.029999,367.859985,367.859985,96386700
2020-12-22,368.209991,368.329987,366.029999,367.239990,367.239990,47949000
2020-12-23,368.279999,369.619995,367.220001,367.570007,367.570007,46201400
2020-12-24,368.079987,369.029999,367.450012,369.000000,369.000000,26457900
2020-12-28,371.739990,372.589996,371.070007,372.170013,372.170013,39000400
2020-12-29,373.809998,374.000000,370.829987,371.459991,371.459991,53680500
2020-12-30,372.339996,373.100006,371.570007,371.989990,371.989990,49455300
2020-12-31,371.779999,374.660004,371.230011,373.880005,373.880005,78520700
2021-01-04,375.309998,375.450012,364.820007,368.790009,368.790009,110210800
2021-01-05,368.100006,372.500000,368.049988,371.329987,371.329987,66426200
2021-01-06,369.709991,376.980011,369.119995,373.549988,373.549988,107997700
2021-01-07,376.100006,379.899994,375.910004,379.100006,379.100006,68766800
2021-01-08,380.589996,381.489990,377.100006,381.260010,381.260010,71677200
2021-01-11,377.850006,380.579987,377.720001,378.690002,378.690002,51176700
2021-01-12,378.890015,379.859985,376.359985,378.769989,378.769989,52547700
2021-01-13,378.690002,380.859985,377.850006,379.790009,379.790009,45303600
2021-01-14,380.589996,381.130005,378.100006,378.459991,378.459991,49989100
2021-01-15,376.720001,377.579987,373.700012,375.700012,375.700012,107160000
2021-01-19,378.339996,379.230011,376.750000,378.649994,378.649994,51233300
2021-01-20,381.109985,384.790009,380.690002,383.890015,383.890015,61836100
2021-01-21,384.489990,384.950012,383.250000,384.239990,384.239990,47955800
2021-01-22,382.250000,384.130005,381.839996,382.880005,382.880005,52860500
2021-01-25,383.670013,384.769989,378.459991,384.390015,384.390015,70402000
2021-01-26,385.410004,385.850006,383.540009,383.790009,383.790009,42665300
2021-01-27,380.220001,380.320007,372.010010,374.410004,374.410004,123351100
2021-01-28,376.359985,381.929993,375.890015,377.630005,377.630005,94198100
2021-01-29,375.630005,376.670013,368.269989,370.070007,370.070007,126618400
2021-02-01,373.720001,377.339996,370.380005,376.230011,376.230011,75817600
2021-02-02,379.649994,383.220001,376.320007,381.549988,381.549988,64450700
2021-02-03,382.440002,383.700012,380.480011,381.850006,381.850006,52427100
2021-02-04,382.959991,386.239990,381.970001,386.190002,386.190002,47142600
2021-02-05,388.200012,388.470001,386.140015,387.709991,387.709991,48620300
2021-02-08,389.269989,390.559998,388.350006,390.510010,390.510010,38365200
2021-02-09,389.609985,390.890015,389.170013,390.250000,390.250000,35551100
2021-02-10,392.119995,392.279999,387.500000,390.079987,390.079987,59154400
2021-02-11,391.239990,391.690002,388.100006,390.709991,390.709991,42755400
2021-02-12,389.850006,392.899994,389.769989,392.640015,392.640015,50505700
2021-02-16,393.959991,394.170013,391.529999,392.299988,392.299988,50972400
2021-02-17,390.420013,392.660004,389.329987,392.390015,392.390015,52290600
2021-02-18,389.589996,391.519989,387.739990,390.720001,390.720001,59712800
2021-02-19,392.070007,392.380005,389.549988,390.029999,390.029999,83241000
2021-02-22,387.059998,389.619995,386.739990,387.029999,387.029999,67414200
2021-02-23,384.660004,388.950012,380.200012,387.500000,387.500000,107284100
2021-02-24,386.329987,392.230011,385.269989,391.769989,391.769989,72433900
2021-02-25,390.410004,391.880005,380.779999,382.329987,382.329987,146670500
2021-02-26,384.350006,385.579987,378.230011,380.359985,380.359985,152534900
2021-03-01,385.589996,390.920013,380.570007,389.579987,389.579987,104945700
2021-03-02,389.820007,390.070007,386.000000,386.540009,386.540009,79389200
2021-03-03,385.790009,386.829987,381.309998,381.420013,381.420013,119482700
